x,y,delme,B
-1.020,144.900,0.000,-0.142
-0.220,144.900,0.000,-0.157
0.580,144.900,0.000,-0.182
1.380,144.900,0.000,-0.217
2.180,144.900,0.000,-0.261
2.980,144.900,0.000,-0.293
3.780,144.900,0.000,-0.320
4.580,144.900,0.000,-0.332
5.380,144.900,0.000,-0.327
6.180,144.900,0.000,-0.303
6.980,144.900,0.000,-0.271
7.780,144.900,0.000,-0.228
8.580,144.900,0.000,-0.196
9.380,144.900,0.000,-0.162
-1.020,145.900,0.000,-0.149
-0.220,145.900,0.000,-0.180
0.580,145.900,0.000,-0.221
1.380,145.900,0.000,-0.276
2.180,145.900,0.000,-0.351
2.980,145.900,0.000,-0.432
3.780,145.900,0.000,-0.505
4.580,145.900,0.000,-0.545
5.380,145.900,0.000,-0.538
6.180,145.900,0.000,-0.477
6.980,145.900,0.000,-0.389
7.780,145.900,0.000,-0.316
8.580,145.900,0.000,-0.249
9.380,145.900,0.000,-0.195
-1.020,146.900,0.000,-0.170
-0.220,146.900,0.000,-0.211
0.580,146.900,0.000,-0.270
1.380,146.900,0.000,-0.369
2.180,146.900,0.000,-0.521
2.980,146.900,0.000,-0.684
3.780,146.900,0.000,-0.841
4.580,146.900,0.000,-0.975
5.380,146.900,0.000,-0.927
6.180,146.900,0.000,-0.753
6.980,146.900,0.000,-0.611
7.780,146.900,0.000,-0.443
8.580,146.900,0.000,-0.320
9.380,146.900,0.000,-0.239
-1.020,147.900,0.000,-0.191
-0.220,147.900,0.000,-0.250
0.580,147.900,0.000,-0.350
1.380,147.900,0.000,-0.512
2.180,147.900,0.000,-0.738
2.980,147.900,0.000,-0.265
3.780,147.900,0.000,1.268
4.580,147.900,0.000,1.537
5.380,147.900,0.000,1.522
6.180,147.900,0.000,0.568
6.980,147.900,0.000,-0.713
7.780,147.900,0.000,-0.627
8.580,147.900,0.000,-0.419
9.380,147.900,0.000,-0.293
-1.020,148.900,0.000,-0.211
-0.220,148.900,0.000,-0.299
0.580,148.900,0.000,-0.426
1.380,148.900,0.000,-0.654
2.180,148.900,0.000,-0.969
2.980,148.900,0.000,0.154
3.780,148.900,0.000,4.042
4.580,148.900,0.000,6.303
5.380,148.900,0.000,5.089
6.180,148.900,0.000,1.159
6.980,148.900,0.000,-1.039
7.780,148.900,0.000,-0.820
8.580,148.900,0.000,-0.517
9.380,148.900,0.000,-0.340
-1.020,149.900,0.000,-0.244
-0.220,149.900,0.000,-0.327
0.580,149.900,0.000,-0.487
1.380,149.900,0.000,-0.777
2.180,149.900,0.000,-1.219
2.980,149.900,0.000,-0.464
3.780,149.900,0.000,2.915
4.580,149.900,0.000,6.620
5.380,149.900,0.000,5.333
6.180,149.900,0.000,0.871
6.980,149.900,0.000,-1.263
7.780,149.900,0.000,-0.950
8.580,149.900,0.000,-0.583
9.380,149.900,0.000,-0.392
-1.020,150.900,0.000,-0.265
-0.220,150.900,0.000,-0.374
0.580,150.900,0.000,-0.542
1.380,150.900,0.000,-0.868
2.180,150.900,0.000,-1.337
2.980,150.900,0.000,-0.163
3.780,150.900,0.000,3.875
4.580,150.900,0.000,7.179
5.380,150.900,0.000,4.897
6.180,150.900,0.000,0.511
6.980,150.900,0.000,-1.403
7.780,150.900,0.000,-1.036
8.580,150.900,0.000,-0.639
9.380,150.900,0.000,-0.428
-1.020,151.900,0.000,-0.277
-0.220,151.900,0.000,-0.391
0.580,151.900,0.000,-0.587
1.380,151.900,0.000,-0.922
2.180,151.900,0.000,-1.424
2.980,151.900,0.000,-0.331
3.780,151.900,0.000,3.974
4.580,151.900,0.000,7.128
5.380,151.900,0.000,4.662
6.180,151.900,0.000,0.413
6.980,151.900,0.000,-1.464
7.780,151.900,0.000,-1.076
8.580,151.900,0.000,-0.668
9.380,151.900,0.000,-0.443
-1.020,152.900,0.000,-0.295
-0.220,152.900,0.000,-0.412
0.580,152.900,0.000,-0.602
1.380,152.900,0.000,-0.936
2.180,152.900,0.000,-1.448
2.980,152.900,0.000,-0.703
3.780,152.900,0.000,3.183
4.580,152.900,0.000,5.906
5.380,152.900,0.000,4.005
6.180,152.900,0.000,0.232
6.980,152.900,0.000,-1.514
7.780,152.900,0.000,-1.096
8.580,152.900,0.000,-0.696
9.380,152.900,0.000,-0.462
-1.020,153.900,0.000,-0.299
-0.220,153.900,0.000,-0.419
0.580,153.900,0.000,-0.613
1.380,153.900,0.000,-0.954
2.180,153.900,0.000,-1.448
2.980,153.900,0.000,-0.514
3.780,153.900,0.000,3.360
4.580,153.900,0.000,6.527
5.380,153.900,0.000,4.493
6.180,153.900,0.000,0.174
6.980,153.900,0.000,-1.523
7.780,153.900,0.000,-1.083
8.580,153.900,0.000,-0.697
9.380,153.900,0.000,-0.472
-1.020,154.900,0.000,-0.310
-0.220,154.900,0.000,-0.424
0.580,154.900,0.000,-0.623
1.380,154.900,0.000,-0.950
2.180,154.900,0.000,-1.446
2.980,154.900,0.000,-0.649
3.780,154.900,0.000,2.813
4.580,154.900,0.000,5.615
5.380,154.900,0.000,4.138
6.180,154.900,0.000,0.002
6.980,154.900,0.000,-1.548
7.780,154.900,0.000,-1.090
8.580,154.900,0.000,-0.695
9.380,154.900,0.000,-0.469
-1.020,155.900,0.000,-0.316
-0.220,155.900,0.000,-0.434
0.580,155.900,0.000,-0.625
1.380,155.900,0.000,-0.949
2.180,155.900,0.000,-1.449
2.980,155.900,0.000,-0.767
3.780,155.900,0.000,2.461
4.580,155.900,0.000,5.646
5.380,155.900,0.000,3.896
6.180,155.900,0.000,-0.087
6.980,155.900,0.000,-1.562
7.780,155.900,0.000,-1.096
8.580,155.900,0.000,-0.704
9.380,155.900,0.000,-0.474
-1.020,156.900,0.000,-0.317
-0.220,156.900,0.000,-0.440
0.580,156.900,0.000,-0.626
1.380,156.900,0.000,-0.953
2.180,156.900,0.000,-1.466
2.980,156.900,0.000,-0.935
3.780,156.900,0.000,2.851
4.580,156.900,0.000,6.426
5.380,156.900,0.000,4.291
6.180,156.900,0.000,-0.042
6.980,156.900,0.000,-1.570
7.780,156.900,0.000,-1.092
8.580,156.900,0.000,-0.711
9.380,156.900,0.000,-0.481
-1.020,157.900,0.000,-0.329
-0.220,157.900,0.000,-0.443
0.580,157.900,0.000,-0.638
1.380,157.900,0.000,-0.974
2.180,157.900,0.000,-1.465
2.980,157.900,0.000,-0.704
