x,y,delme,B
-1.180,67.990,0.000,-0.115
-0.380,67.990,0.000,-0.134
0.420,67.990,0.000,-0.142
1.220,67.990,0.000,-0.157
2.020,67.990,0.000,-0.172
2.820,67.990,0.000,-0.182
3.620,67.990,0.000,-0.195
4.420,67.990,0.000,-0.188
5.220,67.990,0.000,-0.180
6.020,67.990,0.000,-0.178
6.820,67.990,0.000,-0.165
7.620,67.990,0.000,-0.152
8.420,67.990,0.000,-0.139
9.220,67.990,0.000,-0.122
-1.180,68.990,0.000,-0.117
-0.380,68.990,0.000,-0.134
0.420,68.990,0.000,-0.140
1.220,68.990,0.000,-0.152
2.020,68.990,0.000,-0.164
2.820,68.990,0.000,-0.180
3.620,68.990,0.000,-0.180
4.420,68.990,0.000,-0.186
5.220,68.990,0.000,-0.180
6.020,68.990,0.000,-0.171
6.820,68.990,0.000,-0.166
7.620,68.990,0.000,-0.149
8.420,68.990,0.000,-0.136
9.220,68.990,0.000,-0.129
-1.180,69.990,0.000,-0.120
-0.380,69.990,0.000,-0.138
0.420,69.990,0.000,-0.158
1.220,69.990,0.000,-0.170
2.020,69.990,0.000,-0.193
2.820,69.990,0.000,-0.200
3.620,69.990,0.000,-0.214
4.420,69.990,0.000,-0.214
5.220,69.990,0.000,-0.208
6.020,69.990,0.000,-0.196
6.820,69.990,0.000,-0.179
7.620,69.990,0.000,-0.168
8.420,69.990,0.000,-0.146
9.220,69.990,0.000,-0.142
-1.180,70.990,0.000,-0.140
-0.380,70.990,0.000,-0.158
0.420,70.990,0.000,-0.182
1.220,70.990,0.000,-0.211
2.020,70.990,0.000,-0.244
2.820,70.990,0.000,-0.268
3.620,70.990,0.000,-0.289
4.420,70.990,0.000,-0.288
5.220,70.990,0.000,-0.278
6.020,70.990,0.000,-0.246
6.820,70.990,0.000,-0.220
7.620,70.990,0.000,-0.192
8.420,70.990,0.000,-0.170
9.220,70.990,0.000,-0.154
-1.180,71.990,0.000,-0.151
-0.380,71.990,0.000,-0.181
0.420,71.990,0.000,-0.232
1.220,71.990,0.000,-0.287
2.020,71.990,0.000,-0.300
2.820,71.990,0.000,-0.323
3.620,71.990,0.000,-0.455
4.420,71.990,0.000,-0.467
5.220,71.990,0.000,-0.436
6.020,71.990,0.000,-0.380
6.820,71.990,0.000,-0.310
7.620,71.990,0.000,-0.252
8.420,71.990,0.000,-0.207
9.220,71.990,0.000,-0.179
-1.180,72.990,0.000,-0.183
-0.380,72.990,0.000,-0.224
0.420,72.990,0.000,-0.295
1.220,72.990,0.000,-0.394
2.020,72.990,0.000,-0.256
2.820,72.990,0.000,0.125
3.620,72.990,0.000,-0.686
4.420,72.990,0.000,-0.812
5.220,72.990,0.000,-0.688
6.020,72.990,0.000,-0.584
6.820,72.990,0.000,-0.465
7.620,72.990,0.000,-0.345
8.420,72.990,0.000,-0.260
9.220,72.990,0.000,-0.208
-1.180,73.990,0.000,-0.215
-0.380,73.990,0.000,-0.280
0.420,73.990,0.000,-0.374
1.220,73.990,0.000,-0.543
2.020,73.990,0.000,-0.463
2.820,73.990,0.000,0.510
3.620,73.990,0.000,0.252
4.420,73.990,0.000,0.063
5.220,73.990,0.000,0.378
6.020,73.990,0.000,-0.192
6.820,73.990,0.000,-0.654
7.620,73.990,0.000,-0.475
8.420,73.990,0.000,-0.336
9.220,73.990,0.000,-0.250
-1.180,74.990,0.000,-0.247
-0.380,74.990,0.000,-0.330
0.420,74.990,0.000,-0.469
1.220,74.990,0.000,-0.711
2.020,74.990,0.000,-0.730
2.820,74.990,0.000,1.208
3.620,74.990,0.000,3.850
4.420,74.990,0.000,4.307
5.220,74.990,0.000,2.793
6.020,74.990,0.000,-0.095
6.820,74.990,0.000,-0.899
7.620,74.990,0.000,-0.608
8.420,74.990,0.000,-0.408
