x,y,delme,B
6.750,109.030,0.000,-0.855
7.550,109.030,0.000,-0.574
8.350,109.030,0.000,-0.377
9.150,109.030,0.000,-0.265
-1.250,110.030,0.000,-0.225
-0.450,110.030,0.000,-0.307
0.350,110.030,0.000,-0.460
1.150,110.030,0.000,-0.686
1.950,110.030,0.000,-0.816
2.750,110.030,0.000,0.490
3.550,110.030,0.000,2.954
4.350,110.030,0.000,3.530
5.150,110.030,0.000,1.376
5.950,110.030,0.000,-0.464
6.750,110.030,0.000,-0.869
7.550,110.030,0.000,-0.576
8.350,110.030,0.000,-0.386
9.150,110.030,0.000,-0.264
-1.250,111.030,0.000,-0.225
-0.450,111.030,0.000,-0.317
0.350,111.030,0.000,-0.460
1.150,111.030,0.000,-0.690
1.950,111.030,0.000,-0.814
2.750,111.030,0.000,0.519
3.550,111.030,0.000,3.024
4.350,111.030,0.000,3.292
5.150,111.030,0.000,1.036
5.950,111.030,0.000,-0.592
6.750,111.030,0.000,-0.875
7.550,111.030,0.000,-0.582
8.350,111.030,0.000,-0.391
9.150,111.030,0.000,-0.277
-1.250,112.030,0.000,-0.229
-0.450,112.030,0.000,-0.315
0.350,112.030,0.000,-0.465
1.150,112.030,0.000,-0.697
1.950,112.030,0.000,-0.803
2.750,112.030,0.000,0.580
3.550,112.030,0.000,3.156
4.350,112.030,0.000,3.533
5.150,112.030,0.000,1.216
5.950,112.030,0.000,-0.605
6.750,112.030,0.000,-0.878
7.550,112.030,0.000,-0.585
8.350,112.030,0.000,-0.384
9.150,112.030,0.000,-0.277
-1.250,113.030,0.000,-0.232
-0.450,113.030,0.000,-0.312
0.350,113.030,0.000,-0.465
1.150,113.030,0.000,-0.691
1.950,113.030,0.000,-0.825
2.750,113.030,0.000,0.454
3.550,113.030,0.000,3.022
4.350,113.030,0.000,3.850
5.150,113.030,0.000,1.621
5.950,113.030,0.000,-0.472
6.750,113.030,0.000,-0.879
7.550,113.030,0.000,-0.587
8.350,113.030,0.000,-0.392
9.150,113.030,0.000,-0.272
-1.250,114.030,0.000,-0.235
-0.450,114.030,0.000,-0.313
0.350,114.030,0.000,-0.457
1.150,114.030,0.000,-0.688
1.950,114.030,0.000,-0.824
2.750,114.030,0.000,0.413
3.550,114.030,0.000,2.843
4.350,114.030,0.000,3.626
5.150,114.030,0.000,1.435
5.950,114.030,0.000,-0.613
6.750,114.030,0.000,-0.906
7.550,114.030,0.000,-0.600
8.350,114.030,0.000,-0.398
9.150,114.030,0.000,-0.282
-1.250,115.030,0.000,-0.235
-0.450,115.030,0.000,-0.320
0.350,115.030,0.000,-0.463
1.150,115.030,0.000,-0.691
1.950,115.030,0.000,-0.831
2.750,115.030,0.000,0.430
3.550,115.030,0.000,2.992
4.350,115.030,0.000,3.640
5.150,115.030,0.000,1.418
5.950,115.030,0.000,-0.585
6.750,115.030,0.000,-0.911
7.550,115.030,0.000,-0.597
8.350,115.030,0.000,-0.396
9.150,115.030,0.000,-0.276
-1.250,116.030,0.000,-0.240
-0.450,116.030,0.000,-0.318
0.350,116.030,0.000,-0.463
1.150,116.030,0.000,-0.691
1.950,116.030,0.000,-0.855
2.750,116.030,0.000,0.320
3.550,116.030,0.000,2.905
4.350,116.030,0.000,3.672
5.150,116.030,0.000,1.512
5.950,116.030,0.000,-0.476
6.750,116.030,0.000,-0.891
7.550,116.030,0.000,-0.598
8.350,116.030,0.000,-0.390
9.150,116.030,0.000,-0.279
-1.250,117.030,0.000,-0.233
-0.450,117.030,0.000,-0.320
0.350,117.030,0.000,-0.461
1.150,117.030,0.000,-0.687
1.950,117.030,0.000,-0.799
2.750,117.030,0.000,0.545
3.550,117.030,0.000,3.118
4.350,117.030,0.000,3.665
5.150,117.030,0.000,1.472
5.950,117.030,0.000,-0.523
6.750,117.030,0.000,-0.889
7.550,117.030,0.000,-0.595
8.350,117.030,0.000,-0.395
9.150,117.030,0.000,-0.281
-1.250,118.030,0.000,-0.230
-0.450,118.030,0.000,-0.310
0.350,118.030,0.000,-0.456
1.150,118.030,0.000,-0.678
1.950,118.030,0.000,-0.820
2.750,118.030,0.000,0.433
3.550,118.030,0.000,3.003
4.350,118.030,0.000,3.665
5.150,118.030,0.000,1.480
5.950,118.030,0.000,-0.552
6.750,118.030,0.000,-0.899
7.550,118.030,0.000,-0.589
8.350,118.030,0.000,-0.398
9.150,118.030,0.000,-0.277
-1.250,119.030,0.000,-0.230
-0.450,119.030,0.000,-0.312
0.350,119.030,0.000,-0.449
1.150,119.030,0.000,-0.670
1.950,119.030,0.000,-0.848
2.750,119.030,0.000,0.210
3.550,119.030,0.000,2.678
4.350,119.030,0.000,3.777
5.150,119.030,0.000,1.617
5.950,119.030,0.000,-0.526
6.750,119.030,0.000,-0.883
7.550,119.030,0.000,-0.592
8.350,119.030,0.000,-0.393
9.150,119.030,0.000,-0.277
-1.250,120.030,0.000,-0.224
-0.450,120.030,0.000,-0.312
0.350,120.030,0.000,-0.447
1.150,120.030,0.000,-0.657
1.950,120.030,0.000,-0.809
2.750,120.030,0.000,0.351
3.550,120.030,0.000,2.770
4.350,120.030,0.000,3.548
5.150,120.030,0.000,1.409
5.950,120.030,0.000,-0.564
6.750,120.030,0.000,-0.873
7.550,120.030,0.000,-0.581
8.350,120.030,0.000,-0.390
9.150,120.030,0.000,-0.276
-1.250,121.030,0.000,-0.226
-0.450,121.030,0.000,-0.306
0.350,121.030,0.000,-0.441
1.150,121.030,0.000,-0.652
1.950,121.030,0.000,-0.807
2.750,121.030,0.000,0.268
3.550,121.030,0.000,2.641
4.350,121.030,0.000,3.363
5.150,121.030,0.000,1.362
5.950,121.030,0.000,-0.557
6.750,121.030,0.000,-0.865
7.550,121.030,0.000,-0.574
8.350,121.030,0.000,-0.379
9.150,121.030,0.000,-0.279
-1.250,122.030,0.000,-0.221
-0.450,122.030,0.000,-0.310
0.350,122.030,0.000,-0.443
1.150,122.030,0.000,-0.654
1.950,122.030,0.000,-0.779
2.750,122.030,0.000,0.466
3.550,122.030,0.000,2.948
4.350,122.030,0.000,3.549
5.150,122.030,0.000,1.528
5.950,122.030,0.000,-0.457
6.750,122.030,0.000,-0.843
7.550,122.030,0.000,-0.569
8.350,122.030,0.000,-0.382
9.150,122.030,0.000,-0.267
-1.250,123.030,0.000,-0.217
-0.450,123.030,0.000,-0.307
0.350,123.030,0.000,-0.436
1.150,123.030,0.000,-0.647
1.950,123.030,0.000,-0.754
2.750,123.030,0.000,0.491
3.550,123.030,0.000,2.850
4.350,123.030,0.000,3.147
5.150,123.030,0.000,1.205
5.950,123.030,0.000,-0.590
6.750,123.030,0.000,-0.849
7.550,123.030,0.000,-0.560
8.350,123.030,0.000,-0.374
9.150,123.030,0.000,-0.264
-1.250,124.030,0.000,-0.216
-0.450,124.030,0.000,-0.300
0.350,124.030,0.000,-0.432
1.150,124.030,0.000,-0.644
1.950,124.030,0.000,-0.742
2.750,124.030,0.000,0.539
3.550,124.030,0.000,2.834
4.350,124.030,0.000,3.346
5.150,124.030,0.000,1.361
5.950,124.030,0.000,-0.518
6.750,124.030,0.000,-0.832
7.550,124.030,0.000,-0.558
8.350,124.030,0.000,-0.372
9.150,124.030,0.000,-0.266
-1.250,125.030,0.000,-0.219
-0.450,125.030,0.000,-0.294
0.350,125.030,0.000,-0.427
1.150,125.030,0.000,-0.640
1.950,125.030,0.000,-0.773
2.750,125.030,0.000,0.316
3.550,125.030,0.000,2.560
4.350,125.030,0.000,3.283
5.150,125.030,0.000,1.376
5.950,125.030,0.000,-0.499
6.750,125.030,0.000,-0.827
7.550,125.030,0.000,-0.545
8.350,125.030,0.000,-0.374
9.150,125.030,0.000,-0.257
-1.250,126.030,0.000,-0.219
-0.450,126.030,0.000,-0.297
0.350,126.030,0.000,-0.421
1.150,126.030,0.000,-0.624
1.950,126.030,0.000,-0.754
2.750,126.030,0.000,0.309
3.550,126.030,0.000,2.505
4.350,126.030,0.000,3.278
5.150,126.030,0.000,1.330
5.950,126.030,0.000,-0.469
6.750,126.030,0.000,-0.820
7.550,126.030,0.000,-0.543
8.350,126.030,0.000,-0.358
9.150,126.030,0.000,-0.259
-1.250,127.030,0.000,-0.205
-0.450,127.030,0.000,-0.292
0.350,127.030,0.000,-0.418
1.150,127.030,0.000,-0.621
1.950,127.030,0.000,-0.739
2.750,127.030,0.000,0.413
3.550,127.030,0.000,2.613
4.350,127.030,0.000,3.333
5.150,127.030,0.000,1.376
5.950,127.030,0.000,-0.440
6.750,127.030,0.000,-0.817
7.550,127.030,0.000,-0.543
8.350,127.030,0.000,-0.367
9.150,127.030,0.000,-0.259
-1.250,128.030,0.000,-0.204
-0.450,128.030,0.000,-0.284
0.350,128.030,0.000,-0.419
1.150,128.030,0.000,-0.618
1.950,128.030,0.000,-0.720
2.750,128.030,0.000,0.487
3.550,128.030,0.000,2.662
4.350,128.030,0.000,3.218
5.150,128.030,0.000,1.311
5.950,128.030,0.000,-0.462
6.750,128.030,0.000,-0.805
7.550,128.030,0.000,-0.532
8.350,128.030,0.000,-0.356
9.150,128.030,0.000,-0.241
-1.250,129.030,0.000,-0.208
-0.450,129.030,0.000,-0.282
0.350,129.030,0.000,-0.407
1.150,129.030,0.000,-0.608
1.950,129.030,0.000,-0.684
2.750,129.030,0.000,0.541
3.550,129.030,0.000,2.683
4.350,129.030,0.000,3.266
5.150,129.030,0.000,1.451
5.950,129.030,0.000,-0.365
6.750,129.030,0.000,-0.777
7.550,129.030,0.000,-0.524
8.350,129.030,0.000,-0.349
9.150,129.030,0.000,-0.244
-1.250,130.030,0.000,-0.206
-0.450,130.030,0.000,-0.274
0.350,130.030,0.000,-0.402
1.150,130.030,0.000,-0.600
1.950,130.030,0.000,-0.690
2.750,130.030,0.000,0.421
3.550,130.030,0.000,2.448
4.350,130.030,0.000,2.678
5.150,130.030,0.000,0.874
5.950,130.030,0.000,-0.556
6.750,130.030,0.000,-0.761
7.550,130.030,0.000,-0.513
8.350,130.030,0.000,-0.344
9.150,130.030,0.000,-0.241
-1.250,131.030,0.000,-0.200
-0.450,131.030,0.000,-0.268
0.350,131.030,0.000,-0.396
1.150,131.030,0.000,-0.596
1.950,131.030,0.000,-0.690
