I,U,delme
7.12500E+0,-4.02639E-9,2.53068E-2
7.12500E+0,4.02680E-9,2.46708E-2
7.12500E+0,5.03345E-9,2.38773E-2
7.12500E+0,6.04003E-9,2.37493E-2
7.12500E+0,-8.55643E-9,2.35767E-2
7.12500E+0,9.05980E-9,2.37211E-2
7.12500E+0,-1.86231E-8,2.32857E-2
7.12500E+0,1.10727E-8,2.33100E-2
7.12500E+0,-1.15769E-8,2.29058E-2
7.12500E+0,-6.54397E-9,2.35570E-2
7.12500E+0,-1.10736E-8,2.29884E-2
7.12500E+0,-1.66102E-8,2.24193E-2
7.12500E+0,-4.02705E-9,2.19832E-2
7.12500E+0,8.05276E-9,2.25073E-2
7.12500E+0,-1.51027E-9,2.18232E-2
7.12500E+0,7.54960E-9,2.21001E-2
7.12500E+0,-1.05700E-8,2.21300E-2
7.12500E+0,5.03311E-9,2.10614E-2
7.12500E+0,1.50975E-9,2.12071E-2
7.12500E+0,-3.52351E-9,2.15406E-2
7.12500E+0,1.00655E-9,2.03684E-2
7.12500E+0,-1.20798E-8,2.10950E-2
7.12500E+0,5.03324E-9,2.07819E-2
7.12500E+0,-1.10734E-8,2.07591E-2
7.12500E+0,1.00663E-8,1.94962E-2
7.12500E+0,1.20793E-8,1.95411E-2
7.12500E+0,9.56267E-9,1.96856E-2
7.12500E+0,-1.00714E-9,1.89924E-2
7.12500E+0,1.00617E-9,1.87398E-2
7.12500E+0,-2.01387E-9,1.87519E-2
7.12500E+0,-1.15769E-8,1.89153E-2
7.12500E+0,-2.01367E-9,1.80831E-2
7.12500E+0,-1.10734E-8,1.77598E-2
7.12500E+0,-1.45967E-8,1.74125E-2
7.12500E+0,3.01981E-9,1.68446E-2
7.12500E+0,-1.15766E-8,1.62640E-2
7.41000E+0,-6.54344E-9,1.60882E-2
7.69500E+0,-3.52351E-9,1.26279E-2
7.98000E+0,1.20796E-8,2.68740E-3
8.26500E+0,-1.00669E-8,5.59300E-4
8.55000E+0,2.01290E-9,5.77100E-4
8.83500E+0,9.56287E-9,5.97800E-4
9.12000E+0,1.45963E-8,6.18800E-4
9.40500E+0,1.10730E-8,6.39900E-4
9.69000E+0,-7.55031E-9,6.61800E-4
9.97500E+0,-1.00707E-9,6.83000E-4
1.02600E+1,3.01966E-9,7.05600E-4
1.05450E+1,6.54294E-9,7.27900E-4
1.08300E+1,-1.05702E-8,7.50500E-4
1.11150E+1,-2.51703E-9,7.72700E-4
1.14000E+1,1.05692E-8,7.94800E-4
1.16850E+1,1.81191E-8,8.17400E-4
1.19700E+1,1.15760E-8,8.41500E-4
1.22550E+1,-1.96301E-8,8.66800E-4
1.25400E+1,4.52948E-9,8.91800E-4
1.28250E+1,2.51593E-9,9.15800E-4
1.31100E+1,5.53588E-9,9.43400E-4
1.33950E+1,-4.02695E-9,9.67200E-4
1.36800E+1,-4.53027E-9,9.90400E-4
1.39650E+1,-5.53691E-9,1.01410E-3
1.42500E+1,7.54955E-9,1.03700E-3
1.45350E+1,2.01309E-9,1.06040E-3
1.48200E+1,-1.86231E-8,1.08260E-3
1.51050E+1,-2.21464E-8,1.10530E-3
1.53900E+1,-9.05992E-9,1.12710E-3
1.56750E+1,1.50993E-9,1.14880E-3
1.59600E+1,-8.55658E-9,1.17140E-3
1.62450E+1,-7.54993E-9,1.19320E-3
1.65300E+1,-8.55673E-9,1.21560E-3
1.68150E+1,-8.05340E-9,1.23680E-3
1.71000E+1,2.01331E-9,1.25790E-3
1.73850E+1,2.75415E-15,1.27900E-3
1.76700E+1,-2.01334E-8,1.30090E-3
1.79550E+1,-1.56036E-8,1.32280E-3
1.82400E+1,-3.52332E-8,1.34530E-3
1.85250E+1,-1.86237E-8,1.36810E-3
1.88100E+1,-2.66769E-8,1.39050E-3
1.90950E+1,-1.66107E-8,1.41400E-3
1.93800E+1,-2.46639E-8,1.43700E-3
1.96650E+1,-1.96304E-8,1.45890E-3
1.99500E+1,-2.91936E-8,1.48190E-3
2.02350E+1,-2.86901E-8,1.50460E-3
2.05200E+1,-1.66103E-8,1.52750E-3
2.08050E+1,-4.02666E-8,1.55030E-3
2.10900E+1,-1.40936E-8,1.57410E-3
2.13750E+1,-3.07034E-8,1.59740E-3
2.16600E+1,-1.05703E-8,1.61970E-3
2.19450E+1,-1.81202E-8,1.64320E-3
2.22300E+1,-1.81203E-8,1.66670E-3
2.25150E+1,-1.71136E-8,1.68970E-3
2.28000E+1,-2.91933E-8,1.71250E-3
2.30850E+1,-2.81866E-8,1.73530E-3
2.33700E+1,-3.37231E-8,1.75910E-3
2.36550E+1,-1.15767E-8,1.78230E-3
2.39400E+1,-1.76166E-8,1.80160E-3
2.42250E+1,-1.25830E-8,1.82420E-3
2.45100E+1,-1.76162E-8,1.84890E-3
2.47950E+1,-2.21462E-8,1.87350E-3
2.50800E+1,-2.01329E-8,1.89850E-3
2.53650E+1,-2.76829E-8,1.92440E-3
2.56500E+1,-3.27162E-8,1.95160E-3
2.59350E+1,-3.01995E-8,1.97910E-3
2.62200E+1,-3.07029E-8,2.00810E-3
2.65050E+1,-1.76165E-8,2.03760E-3
2.67900E+1,-1.76166E-8,2.06990E-3
2.70750E+1,-2.91931E-8,2.10080E-3
2.73600E+1,-2.31533E-8,2.13630E-3
2.76450E+1,-2.16433E-8,2.17230E-3
2.79300E+1,-1.96299E-8,2.21230E-3
2.82150E+1,-6.04012E-9,2.25220E-3
2.85000E+1,-2.11400E-8,2.29540E-3
2.87850E+1,-1.10734E-8,2.34000E-3
2.90700E+1,-2.51665E-8,2.38880E-3
2.93550E+1,-2.36562E-8,2.43770E-3
2.96400E+1,-1.45964E-8,2.48700E-3
2.99250E+1,-1.00698E-9,2.54540E-3
3.02100E+1,-5.03652E-10,2.60690E-3
3.04950E+1,1.50995E-8,2.66260E-3
3.07800E+1,4.42924E-8,2.72150E-3
3.10650E+1,6.94588E-8,2.78710E-3
3.13500E+1,1.00665E-7,2.82520E-3
3.14640E+1,1.16772E-7,2.85950E-3
3.15780E+1,1.38918E-7,2.88790E-3
3.16920E+1,1.45461E-7,2.92600E-3
3.18060E+1,1.84721E-7,2.96250E-3
3.19200E+1,2.12907E-7,2.99050E-3
3.20340E+1,2.30020E-7,3.02000E-3
3.21480E+1,2.69279E-7,3.06220E-3
3.22620E+1,3.18604E-7,3.09680E-3
3.23760E+1,3.67930E-7,3.12880E-3
3.24900E+1,4.23799E-7,3.16610E-3
3.26040E+1,4.81682E-7,3.19760E-3
3.27180E+1,5.35035E-7,3.23720E-3
3.28320E+1,6.01977E-7,3.27500E-3
3.29460E+1,7.03146E-7,3.32410E-3
3.30600E+1,7.88711E-7,3.36000E-3
3.31740E+1,8.80316E-7,3.40100E-3
3.32310E+1,9.35681E-7,3.41870E-3
3.32880E+1,9.95074E-7,3.43920E-3
3.33450E+1,1.06353E-6,3.45850E-3
3.34020E+1,1.12543E-6,3.47970E-3
3.34590E+1,1.19590E-6,3.50600E-3
3.35160E+1,1.26435E-6,3.53760E-3
3.35730E+1,1.30865E-6,3.55560E-3
3.36300E+1,1.41082E-6,3.58510E-3
3.36870E+1,1.48582E-6,3.61630E-3
3.37440E+1,1.54974E-6,3.63780E-3
3.38010E+1,1.63027E-6,3.66020E-3
3.38580E+1,1.74251E-6,3.68840E-3
3.39150E+1,1.83311E-6,3.70730E-3
3.39720E+1,1.96096E-6,3.72790E-3
3.40290E+1,2.06011E-6,3.75530E-3
3.40860E+1,2.17336E-6,3.77990E-3
3.41430E+1,2.29215E-6,3.80460E-3
3.40805E+1,2.13360E-6,3.77650E-3
3.40180E+1,2.03948E-6,3.74980E-3
3.39555E+1,1.90408E-6,3.72650E-3
3.38930E+1,1.81751E-6,3.70910E-3
3.38305E+1,1.71131E-6,3.68990E-3
3.37680E+1,1.60611E-6,3.66780E-3
3.37055E+1,1.52206E-6,3.65000E-3
3.36430E+1,1.42743E-6,3.63280E-3
3.35805E+1,1.32929E-6,3.61920E-3
3.35180E+1,1.26385E-6,3.59230E-3
3.34555E+1,1.22006E-6,3.57370E-3
3.33930E+1,1.13047E-6,3.55160E-3
3.33305E+1,1.06755E-6,3.53230E-3
3.32680E+1,9.87021E-7,3.52540E-3
3.32055E+1,9.43232E-7,3.50010E-3
3.31430E+1,8.85853E-7,3.47770E-3
3.30805E+1,8.32500E-7,3.45940E-3
3.30180E+1,7.89718E-7,3.44170E-3
