I,U,delme
0.00000E+0,0.00000E+0,9.81000E-5
0.00000E+0,0.00000E+0,9.50000E-5
0.00000E+0,-1.29272E-7,9.19000E-5
0.00000E+0,-1.20212E-7,8.97000E-5
0.00000E+0,-1.21219E-7,8.65000E-5
0.00000E+0,-1.23232E-7,8.31000E-5
0.00000E+0,-1.29272E-7,8.02000E-5
0.00000E+0,-1.23735E-7,7.78000E-5
0.00000E+0,-1.17192E-7,7.51000E-5
0.00000E+0,-1.23232E-7,7.29000E-5
0.00000E+0,-1.27258E-7,7.03000E-5
0.00000E+0,-1.27762E-7,6.79000E-5
0.00000E+0,-1.21219E-7,6.60000E-5
0.00000E+0,-1.19708E-7,6.39000E-5
0.00000E+0,-1.28265E-7,6.15000E-5
0.00000E+0,-1.24239E-7,5.96000E-5
0.00000E+0,-1.23735E-7,5.80000E-5
0.00000E+0,-1.44875E-7,5.66000E-5
0.00000E+0,-1.21722E-7,5.46000E-5
0.00000E+0,-1.35312E-7,5.26000E-5
0.00000E+0,-1.35815E-7,5.11000E-5
0.00000E+0,-1.21722E-7,4.98000E-5
0.00000E+0,-5.03299E-9,4.86000E-5
0.00000E+0,1.00660E-9,4.66000E-5
0.00000E+0,-6.03997E-9,4.51000E-5
0.00000E+0,-1.45965E-8,4.38000E-5
0.00000E+0,1.00661E-9,4.25000E-5
0.00000E+0,7.54955E-9,4.19000E-5
0.00000E+0,-1.51001E-8,4.08000E-5
0.00000E+0,-5.03575E-10,3.93000E-5
0.00000E+0,-1.25834E-8,3.84000E-5
0.00000E+0,6.54299E-9,3.74000E-5
0.00000E+0,-2.01355E-9,3.63000E-5
0.00000E+0,-1.76164E-8,3.51000E-5
0.00000E+0,4.02660E-9,3.42000E-5
0.00000E+0,-5.53627E-9,3.34000E-5
0.00000E+0,-1.35899E-8,3.26000E-5
2.85000E-1,-6.04003E-9,4.96000E-5
5.70000E-1,-7.04668E-9,7.38000E-5
8.55000E-1,-1.20800E-8,9.83000E-5
1.14000E+0,-3.02013E-9,1.22200E-4
1.42500E+0,-8.05370E-9,1.46400E-4
1.71000E+0,-1.91269E-8,1.71100E-4
1.99500E+0,8.55642E-9,1.95800E-4
2.28000E+0,1.00653E-9,2.21100E-4
2.56500E+0,2.51658E-9,2.45800E-4
2.85000E+0,5.03313E-9,2.71000E-4
3.13500E+0,-7.04670E-9,2.96600E-4
3.42000E+0,-8.05297E-9,3.22100E-4
3.70500E+0,-2.01305E-9,3.47800E-4
3.99000E+0,1.35899E-8,3.72800E-4
4.27500E+0,6.54334E-9,3.98500E-4
4.56000E+0,-1.51020E-9,4.24600E-4
4.84500E+0,1.05696E-8,4.50100E-4
5.13000E+0,-3.52330E-9,4.76500E-4
5.41500E+0,-1.05700E-8,5.03600E-4
5.70000E+0,-1.15766E-8,5.30300E-4
5.98500E+0,-5.09139E-14,5.57300E-4
6.27000E+0,-6.54329E-9,5.84800E-4
6.55500E+0,4.02699E-9,6.11800E-4
6.84000E+0,-1.15761E-8,6.39200E-4
7.12500E+0,-7.04617E-9,6.66400E-4
7.41000E+0,-7.04617E-9,6.94400E-4
7.69500E+0,-2.01324E-8,7.22500E-4
7.98000E+0,-2.51598E-9,7.50900E-4
8.26500E+0,-1.10727E-8,7.78900E-4
8.55000E+0,3.02025E-9,8.06600E-4
8.83500E+0,-2.11394E-8,8.35600E-4
9.12000E+0,-5.03317E-9,8.63500E-4
9.40500E+0,-6.03982E-9,8.91700E-4
9.69000E+0,-5.03054E-10,9.20000E-4
9.97500E+0,-1.00638E-9,9.47600E-4
1.02600E+1,1.05705E-8,9.76200E-4
1.05450E+1,1.20805E-8,1.00440E-3
1.08300E+1,-6.03942E-9,1.03240E-3
1.11150E+1,7.04699E-9,1.06140E-3
1.14000E+1,7.55032E-9,1.09170E-3
1.16850E+1,-2.01324E-9,1.12230E-3
1.19700E+1,-2.01324E-9,1.15270E-3
1.22550E+1,-1.00667E-8,1.18310E-3
1.25400E+1,6.03973E-9,1.21300E-3
1.28250E+1,-1.28960E-13,1.24360E-3
1.31100E+1,-6.54337E-9,1.27440E-3
1.33950E+1,5.03316E-9,1.30430E-3
1.36800E+1,-4.02671E-9,1.33480E-3
1.39650E+1,-5.03343E-9,1.36550E-3
1.42500E+1,-6.54353E-9,1.39600E-3
1.45350E+1,5.03030E-10,1.42720E-3
1.48200E+1,7.04637E-9,1.45660E-3
1.51050E+1,-1.51017E-9,1.48710E-3
1.53900E+1,4.52981E-9,1.51740E-3
1.56750E+1,1.50985E-9,1.54670E-3
1.59600E+1,1.00662E-9,1.57640E-3
1.62450E+1,-1.00668E-9,1.60600E-3
1.65300E+1,3.52361E-9,1.63630E-3
1.68150E+1,2.52101E-13,1.66630E-3
1.71000E+1,9.56345E-9,1.69580E-3
1.73850E+1,3.85981E-13,1.72530E-3
1.76700E+1,2.01369E-9,1.75560E-3
1.79550E+1,-2.01299E-9,1.78490E-3
1.82400E+1,-1.50967E-9,1.81410E-3
1.85250E+1,-1.50975E-9,1.84290E-3
1.88100E+1,3.02019E-9,1.87150E-3
1.90950E+1,1.51027E-9,1.90130E-3
1.93800E+1,1.00691E-9,1.93070E-3
1.96650E+1,1.15768E-8,1.96020E-3
1.99500E+1,6.54357E-9,1.98980E-3
2.02350E+1,5.03650E-10,2.01840E-3
2.05200E+1,7.04667E-9,2.04810E-3
2.08050E+1,-7.04646E-9,2.07780E-3
2.10900E+1,-1.00663E-8,2.12160E-3
2.13750E+1,2.01353E-9,2.16290E-3
2.16600E+1,5.03352E-9,2.19940E-3
2.19450E+1,9.56346E-9,2.23420E-3
2.22300E+1,-2.51646E-9,2.26670E-3
2.25150E+1,-3.52312E-9,2.29800E-3
2.28000E+1,1.00681E-9,2.32780E-3
