I,U,delme
0.00000E+0,0.00000E+0,4.30000E-6
0.00000E+0,0.00000E+0,4.50000E-6
0.00000E+0,-7.44090E-8,4.50000E-6
0.00000E+0,-7.74290E-8,4.50000E-6
0.00000E+0,-6.28324E-8,4.50000E-6
0.00000E+0,-1.45968E-8,4.50000E-6
0.00000E+0,-7.55023E-9,4.30000E-6
2.85000E-1,-1.30868E-8,1.74000E-5
5.70000E-1,-5.53694E-9,4.93000E-5
8.55000E-1,-1.00671E-8,8.12000E-5
1.14000E+0,-2.01407E-9,1.12100E-4
1.42500E+0,7.04580E-9,1.43500E-4
1.71000E+0,-1.40936E-8,1.75400E-4
1.99500E+0,-1.25837E-8,2.06500E-4
2.28000E+0,7.04578E-9,2.38600E-4
2.56500E+0,-4.53071E-9,2.69700E-4
2.85000E+0,1.50950E-9,3.01100E-4
3.13500E+0,-2.41601E-8,3.33200E-4
3.42000E+0,-1.05703E-8,3.64800E-4
3.70500E+0,-3.02057E-9,3.97100E-4
3.99000E+0,-1.00671E-8,4.28000E-4
4.27500E+0,-1.00687E-9,4.59100E-4
4.56000E+0,-5.03348E-9,4.91200E-4
4.84500E+0,4.52970E-9,5.22400E-4
5.13000E+0,-1.05701E-8,5.53800E-4
5.41500E+0,-1.00704E-9,5.85600E-4
5.70000E+0,5.03287E-9,6.17200E-4
5.98500E+0,5.02752E-10,6.49000E-4
6.27000E+0,8.05218E-9,6.80400E-4
6.55500E+0,5.03223E-9,7.11600E-4
6.84000E+0,-4.53097E-9,7.43500E-4
7.12500E+0,-3.52432E-9,7.75200E-4
7.41000E+0,1.71121E-8,8.07100E-4
7.69500E+0,1.00566E-9,8.38500E-4
7.98000E+0,-2.01410E-9,8.69300E-4
8.26500E+0,-5.03797E-10,9.00800E-4
8.55000E+0,7.04610E-9,9.32600E-4
8.83500E+0,-2.51730E-9,9.64300E-4
9.12000E+0,-4.53061E-9,9.95800E-4
9.40500E+0,-1.00671E-8,1.02740E-3
9.69000E+0,-5.03388E-9,1.05920E-3
9.97500E+0,-4.53013E-9,1.09070E-3
1.02600E+1,1.50979E-9,1.12240E-3
1.05450E+1,5.03314E-10,1.15390E-3
1.08300E+1,-3.01997E-9,1.18510E-3
1.11150E+1,1.00660E-9,1.21700E-3
1.14000E+1,-1.25834E-8,1.24810E-3
1.16850E+1,-3.52357E-9,1.27990E-3
1.19700E+1,-7.55014E-9,1.31020E-3
1.22550E+1,-1.05701E-8,1.34120E-3
1.25400E+1,8.55608E-9,1.37220E-3
1.28250E+1,3.01949E-9,1.40320E-3
1.31100E+1,-9.56339E-9,1.43390E-3
1.33950E+1,7.54971E-9,1.46460E-3
1.36800E+1,-3.52296E-9,1.49610E-3
1.39650E+1,5.53639E-9,1.52700E-3
1.42500E+1,1.00645E-9,1.55770E-3
1.45350E+1,7.54991E-9,1.58900E-3
1.48200E+1,2.51664E-9,1.61930E-3
1.51050E+1,6.03966E-9,1.65090E-3
1.53900E+1,-5.03578E-10,1.68200E-3
1.56750E+1,-3.52398E-9,1.71250E-3
1.59600E+1,-5.03396E-9,1.74310E-3
1.62450E+1,-9.56373E-9,1.77270E-3
1.65300E+1,-6.04066E-9,1.80420E-3
1.68150E+1,-8.55729E-9,1.83450E-3
1.71000E+1,-6.54372E-9,1.86430E-3
1.73850E+1,-3.52376E-9,1.89500E-3
1.76700E+1,-7.55045E-9,1.92600E-3
1.79550E+1,-5.56439E-13,1.95700E-3
1.82400E+1,-6.04052E-9,1.98810E-3
1.85250E+1,5.03265E-9,2.01940E-3
1.88100E+1,-1.00721E-9,2.05060E-3
1.90950E+1,-5.03382E-9,2.08280E-3
1.93800E+1,2.01248E-9,2.11440E-3
1.96650E+1,3.01942E-9,2.14580E-3
1.99500E+1,-2.01384E-9,2.17770E-3
2.02350E+1,-4.02686E-9,2.20810E-3
2.05200E+1,-1.00691E-9,2.23960E-3
2.08050E+1,1.50998E-8,2.27160E-3
2.10900E+1,-1.50994E-9,2.30300E-3
2.13750E+1,2.01328E-9,2.33420E-3
2.16600E+1,-3.02026E-9,2.36520E-3
2.19450E+1,-8.55685E-9,2.39750E-3
2.22300E+1,6.54252E-9,2.43010E-3
2.25150E+1,3.01923E-9,2.46220E-3
2.28000E+1,-9.56414E-9,2.49400E-3
2.30850E+1,-6.04086E-9,2.52680E-3
2.33700E+1,-3.02040E-9,2.56050E-3
2.36550E+1,-4.53037E-9,2.59430E-3
2.39400E+1,-9.06019E-9,2.62830E-3
2.42250E+1,1.00613E-9,2.66240E-3
2.45100E+1,-7.04708E-9,2.69790E-3
2.47950E+1,1.15757E-8,2.73510E-3
2.50800E+1,1.66090E-8,2.77270E-3
2.53650E+1,3.27151E-8,2.81110E-3
2.56500E+1,4.47949E-8,2.85020E-3
2.59350E+1,6.54313E-8,2.89130E-3
2.62200E+1,1.16267E-7,2.93540E-3
2.65050E+1,1.49991E-7,2.98250E-3
2.67900E+1,2.24986E-7,3.03220E-3
2.69040E+1,2.69278E-7,3.05420E-3
2.70180E+1,3.17598E-7,3.07930E-3
2.71320E+1,3.42764E-7,3.10460E-3
2.72460E+1,4.03667E-7,3.13210E-3
2.73600E+1,4.66079E-7,3.15930E-3
2.74740E+1,5.41074E-7,3.18810E-3
2.75880E+1,5.96944E-7,3.21960E-3
2.77020E+1,6.87040E-7,3.25550E-3
2.78160E+1,7.91229E-7,3.29570E-3
2.79300E+1,8.81324E-7,3.34180E-3
2.79870E+1,9.42226E-7,3.38000E-3
2.80440E+1,9.94068E-7,3.42490E-3
2.81010E+1,1.06453E-6,3.48220E-3
2.81580E+1,1.11789E-6,3.56140E-3
2.82150E+1,1.18936E-6,3.67280E-3
2.82720E+1,1.26586E-6,3.86430E-3
2.83290E+1,1.32727E-6,5.00390E-3
2.83860E+1,1.40982E-6,3.33500E-3
2.84430E+1,1.48733E-6,3.35010E-3
2.83805E+1,1.40327E-6,3.34010E-3
2.83180E+1,1.31821E-6,3.32520E-3
2.82555E+1,1.21805E-6,3.31100E-3
2.81930E+1,1.16923E-6,3.29600E-3
2.82500E+1,1.23063E-6,3.30870E-3
2.83070E+1,1.30814E-6,3.32190E-3
2.83640E+1,1.38918E-6,3.33540E-3
2.84210E+1,1.47827E-6,3.34650E-3
2.84780E+1,1.55377E-6,3.36180E-3
2.85350E+1,1.64688E-6,3.37460E-3
2.85920E+1,1.73748E-6,3.38330E-3
2.86490E+1,1.81600E-6,3.39980E-3
2.87060E+1,1.90308E-6,3.41400E-3
2.87630E+1,2.03143E-6,3.42790E-3
2.87630E+1,2.03998E-6,3.42890E-3
2.87630E+1,2.05559E-6,3.42730E-3
2.87005E+1,1.94334E-6,3.41080E-3
2.86380E+1,1.83060E-6,3.39040E-3
2.85755E+1,1.71332E-6,3.36890E-3
2.85130E+1,1.62524E-6,3.35760E-3
2.84505E+1,1.52004E-6,3.34740E-3
2.83880E+1,1.44001E-6,3.33330E-3
2.83255E+1,1.33784E-6,3.31670E-3
2.82630E+1,1.24372E-6,3.30140E-3
2.82005E+1,1.15513E-6,3.28360E-3
2.81380E+1,1.08920E-6,3.26710E-3
2.80755E+1,1.01621E-6,3.25290E-3
2.80130E+1,9.62861E-7,3.23840E-3
2.79505E+1,8.85853E-7,3.22450E-3
2.78880E+1,8.48607E-7,3.21200E-3
2.78255E+1,8.00287E-7,3.19880E-3
2.77630E+1,7.38379E-7,3.18410E-3
2.77005E+1,6.73450E-7,3.17090E-3
2.76380E+1,6.24124E-7,3.15910E-3
2.75755E+1,5.99964E-7,3.14680E-3
2.75130E+1,5.61712E-7,3.13540E-3
2.74505E+1,5.10876E-7,3.12380E-3
2.73880E+1,4.81683E-7,3.11280E-3
2.73255E+1,4.45947E-7,3.10170E-3
2.72630E+1,4.01654E-7,3.08900E-3
2.72005E+1,3.86554E-7,3.07640E-3
2.71380E+1,3.47294E-7,3.06470E-3
2.70755E+1,3.43771E-7,3.05460E-3
2.70130E+1,3.07028E-7,3.04340E-3
2.69505E+1,2.66762E-7,3.03130E-3
2.68880E+1,2.54682E-7,3.01980E-3
2.68255E+1,2.43609E-7,3.00930E-3
2.67630E+1,2.06866E-7,2.99780E-3
2.67005E+1,1.97303E-7,2.98880E-3
2.66380E+1,1.79183E-7,2.97860E-3
2.65755E+1,1.59553E-7,2.96810E-3
2.65130E+1,1.54017E-7,2.95680E-3
2.64505E+1,1.35394E-7,2.94610E-3
2.63880E+1,1.38917E-7,2.93510E-3
2.63255E+1,1.27341E-7,2.92550E-3
2.62630E+1,1.04691E-7,2.91480E-3
2.62005E+1,8.85850E-8,2.90470E-3
2.61380E+1,9.11016E-8,2.89510E-3
2.60755E+1,9.26116E-8,2.88480E-3
2.60130E+1,7.70085E-8,2.87530E-3
2.59505E+1,6.44255E-8,2.86750E-3
2.58880E+1,5.73789E-8,2.85850E-3
2.58255E+1,5.13388E-8,2.84900E-3
2.57630E+1,5.33521E-8,2.84010E-3
2.57005E+1,5.58689E-8,2.83120E-3
2.56380E+1,4.47957E-8,2.82270E-3
2.55755E+1,4.12719E-8,2.81360E-3
2.55130E+1,3.87553E-8,2.80500E-3
2.54505E+1,2.26488E-8,2.79650E-3
2.53880E+1,3.32189E-8,2.78760E-3
2.53255E+1,2.26491E-8,2.77860E-3
2.52630E+1,3.32188E-8,2.77030E-3
2.52005E+1,1.30858E-8,2.76180E-3
2.51380E+1,1.71129E-8,2.75360E-3
2.50755E+1,1.91262E-8,2.74460E-3
2.50130E+1,1.96295E-8,2.73680E-3
2.49505E+1,1.10730E-8,2.72780E-3
2.48880E+1,-2.01373E-9,2.71990E-3
2.48255E+1,2.51627E-9,2.71120E-3
2.47630E+1,4.52958E-9,2.70310E-3
2.47005E+1,5.03259E-9,2.69470E-3
2.46380E+1,-6.70148E-13,2.68700E-3
2.45755E+1,-2.01386E-9,2.68030E-3
2.45130E+1,3.01940E-9,2.67230E-3
2.44505E+1,-1.10737E-8,2.66380E-3
2.43880E+1,-1.51046E-9,2.65630E-3
2.43255E+1,1.66096E-8,2.64820E-3
2.42630E+1,4.02645E-9,2.64020E-3
2.42005E+1,-2.01371E-9,2.63310E-3
2.41380E+1,3.01945E-9,2.62480E-3
2.40755E+1,-1.30870E-8,2.61690E-3
2.40130E+1,4.02596E-9,2.60940E-3
2.39505E+1,-1.15771E-8,2.60140E-3
2.38880E+1,1.00534E-9,2.59390E-3
2.38255E+1,-2.01461E-9,2.58790E-3
2.37630E+1,-1.86239E-8,2.58070E-3
2.37005E+1,1.00580E-9,2.57310E-3
2.36380E+1,-1.05707E-8,2.56520E-3
2.35755E+1,1.71122E-8,2.55830E-3
2.35130E+1,-1.10740E-8,2.55160E-3
2.33880E+1,-4.53037E-9,2.53750E-3
2.32630E+1,-8.05365E-9,2.52260E-3
2.31380E+1,-1.96301E-8,2.50830E-3
2.30130E+1,-1.05702E-8,2.49340E-3
2.28880E+1,-1.20798E-8,2.47830E-3
2.27630E+1,1.51004E-9,2.46440E-3
2.26380E+1,3.01994E-9,2.45000E-3
2.25130E+1,-1.40932E-8,2.43580E-3
2.23880E+1,-1.51001E-8,2.42250E-3
2.22630E+1,-2.51666E-8,2.40800E-3
2.21380E+1,1.50969E-9,2.39370E-3
2.20130E+1,-1.05707E-8,2.38010E-3
2.18880E+1,-9.56401E-9,2.36530E-3
2.17630E+1,-1.00671E-8,2.35180E-3
2.16380E+1,-1.30871E-8,2.33770E-3
2.15130E+1,-2.01337E-8,2.32340E-3
2.13880E+1,-5.03961E-10,2.31020E-3
2.12630E+1,2.01237E-9,2.29600E-3
2.11380E+1,-1.71139E-8,2.28150E-3
2.10130E+1,-3.52411E-9,2.26840E-3
2.08880E+1,-1.40941E-8,2.25420E-3
2.07630E+1,-3.12071E-8,2.24030E-3
2.06380E+1,-2.36572E-8,2.22720E-3
2.05130E+1,-2.51749E-9,2.21290E-3
2.03880E+1,-1.76172E-8,2.19930E-3
2.02630E+1,-2.11405E-8,2.18580E-3
2.01380E+1,-2.01412E-9,2.17210E-3
2.00130E+1,-2.51770E-9,2.15870E-3
1.98880E+1,-7.55096E-9,2.14470E-3
1.97630E+1,-1.05710E-8,2.13080E-3
1.96380E+1,-1.20809E-8,2.11760E-3
1.95130E+1,-2.11409E-8,2.10380E-3
1.92005E+1,5.02130E-10,2.06950E-3
1.88880E+1,-1.51110E-9,2.03570E-3
1.85755E+1,-1.86242E-8,2.00120E-3
1.82630E+1,-2.01460E-9,1.96670E-3
1.79505E+1,-3.52458E-9,1.93240E-3
1.76380E+1,-1.45979E-8,1.89780E-3
1.73255E+1,-1.76173E-8,1.86410E-3
1.70130E+1,-1.56040E-8,1.82980E-3
1.67005E+1,-1.15770E-8,1.79610E-3
1.63880E+1,-1.56036E-8,1.76150E-3
1.60755E+1,-1.56033E-8,1.72810E-3
1.57630E+1,-2.01332E-8,1.69400E-3
1.54505E+1,-1.56032E-8,1.65970E-3
1.51380E+1,-8.55658E-9,1.62650E-3
1.48255E+1,-1.15770E-8,1.59250E-3
1.45130E+1,-2.46643E-8,1.55820E-3
1.42005E+1,-2.71809E-8,1.52380E-3
1.38880E+1,-2.06375E-8,1.49020E-3
1.35755E+1,-1.20809E-8,1.45640E-3
1.32630E+1,-5.53748E-9,1.42250E-3
1.29505E+1,-1.05707E-8,1.38790E-3
1.26380E+1,-1.61070E-8,1.35390E-3
1.23255E+1,-1.56037E-8,1.32030E-3
1.20130E+1,-1.66101E-8,1.28660E-3
1.17005E+1,-1.10735E-8,1.25280E-3
1.13880E+1,-1.30870E-8,1.21880E-3
1.10755E+1,-3.17103E-8,1.18560E-3
1.07630E+1,-1.35906E-8,1.15140E-3
1.04505E+1,-3.17104E-8,1.11760E-3
1.01380E+1,-1.15774E-8,1.08340E-3
9.82550E+0,-1.30874E-8,1.04890E-3
9.51300E+0,-8.05415E-9,1.01610E-3
9.20050E+0,-5.53736E-9,9.81900E-4
8.88800E+0,-3.07036E-8,9.48400E-4
8.57550E+0,-1.56035E-8,9.14600E-4
8.26300E+0,-1.20804E-8,8.81000E-4
7.95050E+0,-1.15770E-8,8.47500E-4
7.63800E+0,-2.76833E-8,8.14000E-4
7.32550E+0,2.01297E-9,7.79900E-4
7.01300E+0,-2.21469E-8,7.45900E-4
6.70050E+0,-1.40937E-8,7.12100E-4
6.38800E+0,1.00613E-9,6.78300E-4
6.07550E+0,-2.31535E-8,6.44600E-4
5.76300E+0,-1.61070E-8,6.10600E-4
5.45050E+0,1.05693E-8,5.77300E-4
5.13800E+0,-2.81871E-8,5.43800E-4
