I,U,delme
0.00000E+0,0.00000E+0,5.83000E-5
0.00000E+0,0.00000E+0,5.93000E-5
0.00000E+0,-8.34677E-8,5.93000E-5
0.00000E+0,-9.25276E-8,5.98000E-5
0.00000E+0,-1.14674E-7,5.96000E-5
0.00000E+0,-9.75610E-8,5.96000E-5
0.00000E+0,-1.25837E-8,5.37000E-5
0.00000E+0,5.02779E-10,5.98000E-5
0.00000E+0,2.41592E-8,5.36000E-5
0.00000E+0,1.50950E-9,5.92000E-5
0.00000E+0,-3.02044E-9,5.85000E-5
0.00000E+0,-1.00754E-9,5.84000E-5
2.85000E-1,5.53553E-9,6.06900E-4
5.70000E-1,6.03886E-9,1.37380E-3
8.55000E-1,3.52241E-9,2.11420E-3
1.14000E+0,-1.51040E-9,2.79940E-3
1.42500E+0,2.51621E-9,3.45180E-3
1.71000E+0,1.50994E-8,3.89110E-3
1.99500E+0,8.05283E-9,4.13860E-3
2.28000E+0,1.61065E-8,9.83900E-4
2.56500E+0,-3.01995E-9,2.53200E-4
2.85000E+0,-5.03373E-10,2.77400E-4
3.13500E+0,5.03281E-10,3.01200E-4
3.42000E+0,2.01331E-8,3.23800E-4
3.70500E+0,1.35901E-8,3.46500E-4
3.99000E+0,1.00668E-8,3.67900E-4
4.27500E+0,-4.53032E-9,3.88900E-4
4.56000E+0,-3.02034E-9,4.10300E-4
4.84500E+0,-1.10734E-8,4.31600E-4
5.13000E+0,-1.10734E-8,4.53100E-4
5.41500E+0,7.54908E-9,4.74100E-4
5.70000E+0,2.01249E-9,4.94800E-4
5.98500E+0,-1.00673E-8,5.16100E-4
6.27000E+0,-5.03395E-9,5.37100E-4
6.55500E+0,5.53590E-9,5.58000E-4
6.84000E+0,-9.56388E-9,5.79100E-4
7.12500E+0,-5.03394E-9,6.00400E-4
7.41000E+0,-1.35900E-8,6.22500E-4
7.69500E+0,1.76162E-8,6.44300E-4
7.98000E+0,5.03332E-10,6.65200E-4
8.26500E+0,-1.45965E-8,6.86500E-4
8.55000E+0,-3.02017E-9,7.08600E-4
8.83500E+0,-2.51685E-9,7.31000E-4
9.12000E+0,-1.93734E-13,7.53500E-4
9.40500E+0,3.52265E-9,7.75300E-4
9.69000E+0,-1.40938E-8,7.98000E-4
9.97500E+0,-9.06063E-9,8.20500E-4
1.02600E+1,-6.04068E-9,8.43600E-4
1.05450E+1,-8.55705E-9,8.66300E-4
1.08300E+1,-1.86236E-8,8.88600E-4
1.11150E+1,-1.00735E-9,9.12200E-4
1.14000E+1,-1.35905E-8,9.35300E-4
1.16850E+1,4.52929E-9,9.59100E-4
1.19700E+1,8.55595E-9,9.82300E-4
1.22550E+1,-1.20804E-8,1.00570E-3
1.25400E+1,-1.15771E-8,1.02990E-3
1.28250E+1,2.51602E-9,1.05440E-3
1.31100E+1,-1.00670E-8,1.07910E-3
1.33950E+1,6.03941E-9,1.10280E-3
1.36800E+1,6.54296E-9,1.12750E-3
1.39650E+1,5.53630E-9,1.15190E-3
1.42500E+1,-3.52366E-9,1.17640E-3
1.45350E+1,-4.02699E-9,1.20110E-3
1.48200E+1,-5.30403E-13,1.22520E-3
1.51050E+1,8.55652E-9,1.25070E-3
1.53900E+1,9.56317E-9,1.27660E-3
1.56750E+1,-8.55654E-9,1.30180E-3
1.59600E+1,1.25832E-8,1.32750E-3
1.62450E+1,3.02017E-9,1.35240E-3
1.65300E+1,1.15767E-8,1.37840E-3
1.68150E+1,-7.54937E-9,1.40310E-3
1.71000E+1,1.35904E-8,1.42960E-3
1.73850E+1,3.02014E-9,1.45690E-3
1.76700E+1,-3.02000E-9,1.48530E-3
1.79550E+1,-9.05993E-9,1.51240E-3
1.82400E+1,-7.55000E-9,1.53810E-3
1.85250E+1,-6.54334E-9,1.56460E-3
1.88100E+1,6.03991E-9,1.59080E-3
1.90950E+1,-1.10732E-8,1.61870E-3
1.93800E+1,5.53638E-9,1.65010E-3
1.96650E+1,-1.35900E-8,1.67720E-3
1.99500E+1,-9.05995E-9,1.70560E-3
2.02350E+1,-2.16434E-8,1.73480E-3
2.05200E+1,-2.46634E-8,1.76460E-3
2.08050E+1,-1.20803E-8,1.79500E-3
2.10900E+1,-2.06369E-8,1.82330E-3
2.13750E+1,-2.36569E-8,1.85150E-3
2.16600E+1,-1.71136E-8,1.87910E-3
2.19450E+1,-3.47302E-8,1.90870E-3
